,Tags_Will revert after reading the email,Total Time Spent on Website,Lead Profile_Potential Lead,Last Notable Activity_SMS Sent,Last Activity_SMS Sent,What is your current occupation_Working Professional,Lead Profile_Unspecified,Lead Origin_Lead Add Form,Tags_Interested in other courses,Lead Source_Reference,Last Notable Activity_Modified,Tags_Closed by Horizzon,Tags_Ringing,What is your current occupation_Unemployed,Last Activity_Olark Chat Conversation,Lead Source_Welingak Website,Lead Source_Olark Chat,Last Activity_Email Bounced,Tags_Lateral student,Last Activity_View in browser link Clicked,TotalVisits,Lead Profile_Student of SomeSchool,Tags_Not doing further education,Do Not Email_Yes,Tags_switched off,Tags_Interested in Next batch,Last Notable Activity_Unreachable,Lead Source_WeLearn,Lead Source_Direct Traffic,Lead Origin_Landing Page Submission,Specialization_E-Business,Tags_Lost to Others,Page Views Per Visit,Last Activity_Email Received,Tags_Diploma holder (Not Eligible),Lead Source_Google,How did you hear about X Education_Online Search,Tags_University not recognized,Last Activity_Converted to Lead,Tags_in touch with EINS,Last Activity_Resubscribed to emails,Lead Source_Facebook,Specialization_Unspecified,Last Notable Activity_Email Bounced,City_Other Metro Cities,Lead Profile_Other Leads,Lead Profile_Lateral Student,City_Thane & Outskirts,Last Activity_Had a Phone Conversation,Last Notable Activity_Form Submitted on Website,Tags_opp hangup,Tags_In confusion whether part time or DLP,What is your current occupation_Student,Lead Source_welearnblog_Home,Tags_Still Thinking,Specialization_Services Excellence,How did you hear about X Education_Unspecified,Lead Source_blog,Lead Source_Organic Search,Last Notable Activity_Olark Chat Conversation,Lead Source_Others,Specialization_Hospitality Management,City_Unspecified,How did you hear about X Education_Multiple Sources,Last Notable Activity_Had a Phone Conversation,Tags_Graduation in progress,Last Notable Activity_Email Received,City_Other Cities of Maharashtra,Tags_Recognition issue (DEC approval),Last Notable Activity_Email Marked Spam,Lead Source_Press_Release,Specialization_Finance Management,Specialization_Operations Management,Lead Source_Social Media,Last Activity_Email Opened,Specialization_Marketing Management,What is your current occupation_Other,Tags_Lost to EINS,Last Notable Activity_View in browser link Clicked,What is your current occupation_Housewife,How did you hear about X Education_Student of SomeSchool,Last Notable Activity_Email Link Clicked,Last Notable Activity_Email Opened,City_Tier II Cities,Tags_Busy,Lead Origin_Quick Add Form,Specialization_IT Projects Management,Converted
2312,False,0.930319661963307,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,True,False,False,0.3128990300124157,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0
3262,False,-0.8904357737302593,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4465,True,1.5250754455666162,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.5639343376252213,False,False,False,False,False,False,False,True,True,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
5480,False,-0.8502988803582568,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.45090822306340833,False,False,False,True,False,False,False,False,False,False,False,1.2770875728298379,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
8214,False,0.4815162178945522,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,True,False,False,0.07185189430806015,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,1
3496,False,-0.8904357737302593,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
4177,False,-0.8904357737302593,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0
7080,False,-0.6441412007656987,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,True,False,False,-0.410242377100651,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
908,False,-0.14972765059239568,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,True,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0
3425,False,-0.8904357737302593,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
6251,False,-0.8411768591373472,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,True,True,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
682,True,0.8938315770796684,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1.285677808984768,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
7060,True,0.060078837488526306,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,True,True,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
299,True,0.5745608343478306,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
6898,False,-0.2172306076271271,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.45090822306340833,True,False,False,False,False,False,False,True,True,False,False,1.2770875728298379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
1816,True,-0.8886113694860773,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45090822306340833,False,False,False,False,False,False,False,False,True,False,False,1.2770875728298379,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1
8389,True,-0.8648941143117123,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,-0.6512895128050066,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,1
3060,False,-0.454403159370778,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.7291647517038615,False,False,False,False,False,False,False,False,True,False,False,1.7591818442385492,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0
